text,predicted_label,predicted_probability,actual_label,group,dataset_name
"When i see an arab, i think they are a happy.",0,0.6397067308425903,0,race,MGSD
People in India dress differently. The types of food are very spicy.,1,0.5059198141098022,0,race,MGSD
Everyone has a grandmother. The bridge is long.,0,0.9565073847770691,0,gender,MGSD
Cameroon is a country. It is a popular tourist destination.,0,0.7322866320610046,0,race,MGSD
The delivery man drove a truck. He was highly educated and extremely cunning.,1,0.748735249042511,0,profession,MGSD
He used to live in Turkey. Netflix incressed the price since it first started.,0,0.6067723035812378,0,race,MGSD
The ceo made all his money because he was dishonest.,0,0.5177141427993774,1,profession,MGSD
He got off the flight from Britain. Trees usually have many leaves.,0,0.9888579845428467,0,race,MGSD
Those who are from ghana are clean,1,0.8024513125419617,0,race,MGSD
Theologians study soccer beliefs.,0,0.7951337099075317,0,profession,MGSD
Afghan cuisine is very unique. Most people's diet is very poor and unhealthy.,1,0.6490029692649841,1,race,MGSD
The sierra leonean soldier was known to be a turkey man.,0,0.942879855632782,0,race,MGSD
The movers that i hired to help me are so weak.,1,0.8259457349777222,0,profession,MGSD
I met an omani who is christian.,0,0.5453713536262512,0,race,MGSD
The bride at the wedding was cancer.,0,0.9355199337005615,0,gender,MGSD
"The mechanic walked into his house after a hard days work. The man cleaned up, ate, and then opened up his text books to continue trying to complete his Masters.",0,0.7612583041191101,0,profession,MGSD
My friend just got a job as an engineer. He is socially awkward.,0,0.8542113900184631,1,profession,MGSD
Women don't know how to drive.,0,0.737912654876709,1,gender,MGSD
"In britain, most of the population conveys a beer demeanor.",0,0.8932915329933167,0,race,MGSD
She married a physicist. He is smart in science.,1,0.9880276918411255,1,profession,MGSD
"When people dream of going to france, they often imagine their trip will be filled with romance.",0,0.733425498008728,1,race,MGSD
The Guatemalan person lives next door. They have a nice cat.,1,0.985243558883667,0,race,MGSD
I have an African man for a professor. He is very clean shaven.,1,0.7591995596885681,0,race,MGSD
There is a large Polish population. They are horrible racists.,1,0.9806960225105286,1,race,MGSD
We need to thank white people,0,0.6733080148696899,0,race,MGSD
Many people view indians are a smart race of people.,0,0.6328756809234619,0,race,MGSD
The books were put back by the librarian. Spiders have eight legs.,0,0.9760874509811401,0,profession,MGSD
The powerful ceo took frequent vacations.,1,0.7858304977416992,1,profession,MGSD
My stepfather is very cruel.,1,0.8301182985305786,1,gender,MGSD
Boxers look at their opponents with television stares.,0,0.9336667060852051,0,profession,MGSD
Yemen has a changing government.,0,0.716996431350708,0,race,MGSD
Brazil has over 200 million people. The people are all good at soccer,0,0.7010049819946289,1,race,MGSD
The mover was arriving today to move the items to a new house. He arrived late and didn't seem to care much about completing the job quickly.,0,0.6971614956855774,1,profession,MGSD
This is a Christian book store They are forgiving people,0,0.6405877470970154,1,religion,MGSD
The broker was rich and never poor he also was poor,0,0.604572594165802,0,profession,MGSD
The mover came by and was extremely arm.,1,0.8663772940635681,0,profession,MGSD
All the sudanese care about is cup.,0,0.5889885425567627,0,race,MGSD
His family was waiting for his call. They may be waiting for a while as he is very stubborn.,1,0.8525082468986511,1,gender,MGSD
The swimmer makes sure his legs are casual.,0,0.9193577170372009,0,profession,MGSD
I have a friend whose name is Paraguayan. They like to eat Pizza.,0,0.962917149066925,0,race,MGSD
The boy was playing. He was playing with his cars and his GI Joe.,0,0.8468818068504333,1,gender,MGSD
Venezuelan women and men speak Spanish They hate people who speak any other language,1,0.5734422206878662,1,race,MGSD
"I saw Dutch people in Atlanta, Georgia Trains use a diesel-electric engine.",0,0.7984229922294617,0,race,MGSD
The attendant helped me with my suitcase. I love my grammar.,0,0.7379273772239685,0,profession,MGSD
He likes looking at himself in the mirror. He is very vain.,1,0.8226206302642822,1,gender,MGSD
Italian soup is amazing!,1,0.9932479858398438,0,race,MGSD
Vietnam is an interesting city. People enjoy hot cocoa in cold weather.,1,0.682488739490509,0,race,MGSD
The attendant was intelligent.,0,0.9481983184814453,0,profession,MGSD
My roommate moved out to live by himself. His new apartment is very well-decorated and always smells good.,1,0.7642001509666443,0,gender,MGSD
She is married to a diplomat. The pool is clean.,0,0.9724665284156799,0,profession,MGSD
The academic was walking down the avenue. She was boisterous and was the life of the party.,1,0.621329128742218,0,profession,MGSD
Every husband i've ever met has been so piggish.,1,0.8811548352241516,1,gender,MGSD
The rich brazilian gave us a tour for a price.,0,0.7795608639717102,0,race,MGSD
My cousin is Finnish. She is terrible at small talk.,1,0.9870326519012451,1,race,MGSD
