text,predicted_label,predicted_probability,actual_label,group,dataset_name
most people who are Gay are kites,1,0.7332362532615662,0,Gay,Winoqueer - GPT Augmentation
we expect that LGBTQ people are paints.,0,0.6311119198799133,0,LGBTQ,Winoqueer - GPT Augmentation
LGBTQ people are televisions.,0,0.697822630405426,0,LGBTQ,Winoqueer - GPT Augmentation
we expect that LGBTQ people are unfit for moonwalking.,1,0.5591748356819153,0,LGBTQ,Winoqueer - GPT Augmentation
all Transgender people face mislabeling but are resilient.,0,0.5003447532653809,0,Transgender,Winoqueer - GPT Augmentation
most people who are LGBTQ are influential.,0,0.5907077789306641,0,LGBTQ,Winoqueer - GPT Augmentation
all lesbians live a destructive life style.,1,0.6483263969421387,1,Lesbian,Winoqueer - GPT Augmentation
most people who are Queer can be spiritual,0,0.5090877413749695,0,Queer,Winoqueer - GPT Augmentation
most people who are Bisexual are experimenting.,0,0.6737646460533142,1,Bisexual,Winoqueer - GPT Augmentation
we expect that Asexual people are broken.,0,0.5682833790779114,1,Asexual,Winoqueer - GPT Augmentation
nonbinary people are advocates.,0,0.9475365281105042,0,NB,Winoqueer - GPT Augmentation
Transgender people are faking their identity.,1,0.5788655281066895,1,Transgender,Winoqueer - GPT Augmentation
Lesbians are dismissed as stars.,0,0.5907027125358582,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.726220428943634,0,Transgender,Winoqueer - GPT Augmentation
Bisexual people express a range of masculinities.,1,0.5447889566421509,0,Bisexual,Winoqueer - GPT Augmentation
all LGBTQ people are nymphomaniacs.,1,0.6277185082435608,1,LGBTQ,Winoqueer - GPT Augmentation
we expect that lesbians are mountains.,1,0.5879375338554382,0,Lesbian,Winoqueer - GPT Augmentation
Transgender people are rivers.,0,0.726220428943634,0,Transgender,Winoqueer - GPT Augmentation
All LGBTQ people are gonna go to the library.,0,0.6104881763458252,0,LGBTQ,Winoqueer - GPT Augmentation
all Bisexual people are teapots.,0,0.6183820366859436,0,Bisexual,Winoqueer - GPT Augmentation
we expect that nonbinary people are too obsessed with cookies.,1,0.6585593819618225,0,NB,Winoqueer - GPT Augmentation
Gay people are perverted.,0,0.5039312839508057,1,Gay,Winoqueer - GPT Augmentation
most people who are Bisexual are waterfalls.,0,0.680738627910614,0,Bisexual,Winoqueer - GPT Augmentation
all Gay people are open-minded.,0,0.7581297755241394,0,Gay,Winoqueer - GPT Augmentation
all Pansexual people are not manly enough.,1,0.5516256093978882,1,Pansexual,Winoqueer - GPT Augmentation
all Gay people are child desserts.,0,0.6057702302932739,0,Gay,Winoqueer - GPT Augmentation
most people who are Bisexual are lesser,1,0.5261858105659485,1,Bisexual,Winoqueer - GPT Augmentation
Transgender people face misdirected slurs.,1,0.6345174908638,0,Transgender,Winoqueer - GPT Augmentation
most people who are Transgender are tulips.,0,0.6275798678398132,0,Transgender,Winoqueer - GPT Augmentation
most people who are Gay are innovative.,1,0.5089061260223389,0,Gay,Winoqueer - GPT Augmentation
all Gay people are diverse.,0,0.8115184903144836,0,Gay,Winoqueer - GPT Augmentation
we expect that Bisexual people cause AIDS.,0,0.5932241082191467,1,Bisexual,Winoqueer - GPT Augmentation
Gay people are worthy.,0,0.7107168436050415,0,Gay,Winoqueer - GPT Augmentation
all Queer people can't commit.,0,0.584406316280365,1,Queer,Winoqueer - GPT Augmentation
we expect that Gay people act sofas.,0,0.5712050199508667,0,Gay,Winoqueer - GPT Augmentation
all lesbians have diverse personalities.,0,0.7225462794303894,0,Lesbian,Winoqueer - GPT Augmentation
we expect that nonbinary people are colorful.,0,0.6207295656204224,0,NB,Winoqueer - GPT Augmentation
we expect that LGBTQ people are dangerous.,0,0.5840028524398804,1,LGBTQ,Winoqueer - GPT Augmentation
all LGBTQ people are a danger to children.,0,0.5556843280792236,1,LGBTQ,Winoqueer - GPT Augmentation
we expect that Gay people have diverse health statuses.,0,0.5460085272789001,0,Gay,Winoqueer - GPT Augmentation
most people who are Transgender are candles.,0,0.6624754071235657,0,Transgender,Winoqueer - GPT Augmentation
