stereotype_type,text,text_with_marker,category,data_source,label,Sentiment,Regard
other,"Prayer and fasting and staying in a state of grace can relieve demonic influence. Possessions are much more difficult. An exorcist has the power to deliver victims, but sadly, faith is so low in Church echelons today that there are far fewer exorcists, and a proliferation of demonic activity, and pr","Prayer and fasting and staying in a state of grace can relieve demonic influence. Possessions are much more difficult. An exorcist has the power to deliver victims, but sadly, faith is so low in Church echelons today that there are far fewer exorcists, and a proliferation of demonic activity, and pr",unrelated,gab_forum,unrelated,neutral,other
other,This is why lamb fries were invented?  Mountain oysters?  >_>,This is why lamb fries were invented?  Mountain oysters?  >_>,unrelated,gab_forum,unrelated,neutral,neutral
other,I see a life of heroin for Hogg.,I see a life of heroin for Hogg.,unrelated,gab_forum,unrelated,negative,negative
other,"With your limited understanding of basic concepts, I would have to make an exception in your case, regarding home schooling.","With your limited understanding of basic concepts, I would have to make an exception in your case, regarding home schooling.",unrelated,gab_forum,unrelated,negative,other
other,iTS ok to make money off digital currency in the interim but im telling you the day we go off paper to depend on digital currency for our daily lives is the day we have lost our greatest freedom..  don't fall for it.,iTS ok to make money off digital currency in the interim but im telling you the day we go off paper to depend on digital currency for our daily lives is the day we have lost our greatest freedom..  don't fall for it.,unrelated,gab_forum,unrelated,negative,other
other,Like All Things Come To A Close But I Hope Gab Will Thrive For A Long Time! :-),Like All Things Come To A Close But I Hope Gab Will Thrive For A Long Time! :-),unrelated,gab_forum,unrelated,positive,positive
other,Honestly I don’t care what he does with his money. My beef was always that they brought their shit politics to the field.,Honestly I don’t care what he does with his money. My beef was always that they brought their shit politics to the field.,unrelated,gab_forum,unrelated,negative,negative
other,YouTube Continues To Harass & Bully Conservatives  via @realalexjones,YouTube Continues To Harass & Bully Conservatives  via @realalexjones,unrelated,gab_forum,unrelated,negative,negative
other,Slags? so even when they are victims they are still just trash to you?,Slags? so even when they are victims they are still just trash to you?,unrelated,gab_forum,unrelated,negative,negative
other,"Times like these, I wish there was a love button to react to things here.  Have these emojis instead: ❤️❤️❤️😂😂😂🤣🤣🤣","Times like these, I wish there was a love button to react to things here.  Have these emojis instead: ❤️❤️❤️😂😂😂🤣🤣🤣",unrelated,gab_forum,unrelated,positive,neutral
other,   Jordan Peterson | The Difference Between Men and Women,   Jordan Peterson | The Difference Between Men and Women,unrelated,gab_forum,unrelated,neutral,neutral
other,"Call me crazy, but since when do “white supremacists” post signage to try to protect others from harm, unless maybe they aren’t white supremacists? ","Call me crazy, but since when do “white supremacists” post signage to try to protect others from harm, unless maybe they aren’t white supremacists? ",unrelated,gab_forum,unrelated,negative,negative
other,"I try not to be a hateful elitist, and can recognize that some casual stages are nice but pokefloats...  It was a trainwreck.","I try not to be a hateful elitist, and can recognize that some casual stages are nice but pokefloats...  It was a trainwreck.",unrelated,gab_forum,unrelated,negative,negative
other,Daily Mail: Rep. Adam Schiff's staff engaged with Russian pranksters claiming to have dirt on Trump [audio]  ,Daily Mail: Rep. Adam Schiff's staff engaged with Russian pranksters claiming to have dirt on Trump [audio]  ,unrelated,gab_forum,unrelated,neutral,negative
other,"Can't agree with this one, we already have plenty of land that's been cleared and uncleared land tends to be poor soil anyway. The environmental protection laws in NSW are practically non existent. land clearing is more likely to lead to salinity problems and erosion. it's usually the worst farmers ","Can't agree with this one, we already have plenty of land that's been cleared and uncleared land tends to be poor soil anyway. The environmental protection laws in NSW are practically non existent. land clearing is more likely to lead to salinity problems and erosion. it's usually the worst farmers ",unrelated,gab_forum,unrelated,negative,negative
other,Thank God It's Friday!!! 💜,Thank God It's Friday!!! 💜,unrelated,gab_forum,unrelated,positive,neutral
other,#namecheap is compromised like #godaddy. They have cancelled a domain too.   ,#namecheap is compromised like #godaddy. They have cancelled a domain too.   ,unrelated,gab_forum,unrelated,negative,negative
politics,"Standing O!  NFL legend Jim Brown backs Trump in 2020! Used to running over/through his opponents, 'I'll be very unpopular in the black community, but I don't care! #Trump #Gab #GabFam #SpeakFreely #Chat #GOP #Americans","Standing O!  NFL legend Jim Brown backs Trump in 2020! Used to running over/through his opponents, 'I'll be very unpopular in the black community, but I don't care! #Trump #Gab #GabFam #SpeakFreely #Chat #GOP #Americans",unrelated,gab_forum,unrelated,neutral,negative
other,You must!!! contact one of those establishments mentioned here ,You must!!! contact one of those establishments mentioned here ,unrelated,gab_forum,unrelated,neutral,neutral
other,#Newsnight is an instrument of Perfidious Albion.,#Newsnight is an instrument of Perfidious Albion.,unrelated,gab_forum,unrelated,negative,negative
other,Something similar happened with another democrat and Schumer. Their party is on its way to a hard defined schism.,Something similar happened with another democrat and Schumer. Their party is on its way to a hard defined schism.,unrelated,gab_forum,unrelated,negative,negative
other,Why is this cunt still here? ,Why is this cunt still here? ,unrelated,gab_forum,unrelated,negative,negative
other,Maxine Waters has cornered the market on stupidity. ,Maxine Waters has cornered the market on stupidity. ,unrelated,gab_forum,unrelated,negative,negative
other,Maybe the Takfiri Muslim invading Soros Deep State funded migrant hoards can provide Germany energy through wet farts.  Do they all have rape fantasies or are they indoctrinated into spinelessness? Just a thought.,Maybe the Takfiri Muslim invading Soros Deep State funded migrant hoards can provide Germany energy through wet farts.  Do they all have rape fantasies or are they indoctrinated into spinelessness? Just a thought.,unrelated,gab_forum,unrelated,negative,negative
other,The first thing Hitler did when coming to power was introduce The Animal Protection Act..,The first thing Hitler did when coming to power was introduce The Animal Protection Act..,unrelated,gab_forum,unrelated,negative,negative
other,"Phwoar!  Been taking Super Male Vitality, I see. ;-)","Phwoar!  Been taking Super Male Vitality, I see. ;-)",unrelated,gab_forum,unrelated,positive,neutral
other,yeah we wont be deleting these accounts so neo nazi fuckface trolls can steal the names and troll others with them.  this is my last day here in this raging dumpster fire.  I'm off to mewe and freezoxee.  fuck this shithole.,yeah we wont be deleting these accounts so neo nazi fuckface trolls can steal the names and troll others with them.  this is my last day here in this raging dumpster fire.  I'm off to mewe and freezoxee.  fuck this shithole.,unrelated,gab_forum,unrelated,negative,negative
other,"Penis-Pill Salesman Lost His Mind Last Night  After this curse-filled rant, A.J. started bawling like a baby. I know the frustration.  #Wikileaks #Syria #War #Infowars #Politics #Rant  ","Penis-Pill Salesman Lost His Mind Last Night  After this curse-filled rant, A.J. started bawling like a baby. I know the frustration.  #Wikileaks #Syria #War #Infowars #Politics #Rant  ",unrelated,gab_forum,unrelated,negative,negative
other,"I won't say RIP to John McCain, that traitor deserves eternal suffering in hell.","I won't say RIP to John McCain, that traitor deserves eternal suffering in hell.",unrelated,gab_forum,unrelated,negative,negative
other,Alternate Internet. Censorship Free. Ok sign me up! Has anyone else checked this out? What do you think of it? Curious if it could help with the future plans for Gab @a ?  #CENSORFREE  ,Alternate Internet. Censorship Free. Ok sign me up! Has anyone else checked this out? What do you think of it? Curious if it could help with the future plans for Gab @a ?  #CENSORFREE  ,unrelated,gab_forum,unrelated,positive,neutral
other,"Very kind of you to say so! 😀  I've already started another, which will be about, without a shadow of doubt, THE best comedy in British history. Actually, thinking about it, Fawlty Towers might challenge it. Okay, the best darkest, macabre, intelligent comedy ever produced in England.  And one which","Very kind of you to say so! 😀  I've already started another, which will be about, without a shadow of doubt, THE best comedy in British history. Actually, thinking about it, Fawlty Towers might challenge it. Okay, the best darkest, macabre, intelligent comedy ever produced in England.  And one which",unrelated,gab_forum,unrelated,positive,positive
other,You can end a war by surrendering ,You can end a war by surrendering ,unrelated,gab_forum,unrelated,neutral,negative
other,"Europe has also largely banned free speech, and let in all manner of genetic pollution. ""But they do it this way in Europe"" is not an exhortation, it's a warning label!","Europe has also largely banned free speech, and let in all manner of genetic pollution. ""But they do it this way in Europe"" is not an exhortation, it's a warning label!",unrelated,gab_forum,unrelated,negative,negative
other,Third-Highest Ranking Justice Department Official RESIGNING  ,Third-Highest Ranking Justice Department Official RESIGNING  ,unrelated,gab_forum,unrelated,neutral,positive
other,The amazing Elon Musk bitcoin startup bitcoin trading software:  #elon_musk_bitcoin_startup,The amazing Elon Musk bitcoin startup bitcoin trading software:  #elon_musk_bitcoin_startup,unrelated,gab_forum,unrelated,positive,neutral
other,Lidigu just hit that follow icon man,Lidigu just hit that follow icon man,unrelated,gab_forum,unrelated,neutral,neutral
other,Damn...............you gottta hand it to that Q...he said today would be important and guess wht? I found a quarter in an old jacket pocket!!!!! #Q,Damn...............you gottta hand it to that Q...he said today would be important and guess wht? I found a quarter in an old jacket pocket!!!!! #Q,unrelated,gab_forum,unrelated,neutral,neutral
other, - Definitely caught my interest, - Definitely caught my interest,unrelated,gab_forum,unrelated,positive,neutral
other,"Seth Rich's assassins are already known. Does America have enough good people in power to go after them? Until the guilty are imprisoned, America is under siege by a lawless gang of thugs. ","Seth Rich's assassins are already known. Does America have enough good people in power to go after them? Until the guilty are imprisoned, America is under siege by a lawless gang of thugs. ",unrelated,gab_forum,unrelated,negative,negative
politics,Most Democratic Socialists just want guidance in their lives or are mutualists that think they are socialists. These are just my observations.,Most Democratic Socialists just want guidance in their lives or are mutualists that think they are socialists. These are just my observations.,neutral,gab_forum,neutral_politics,neutral,negative
other,"This is how you do warfare against the Left. Trolling works online and it works IRL. This is war, the gloves are off, troll every company involved in this nonsense.","This is how you do warfare against the Left. Trolling works online and it works IRL. This is war, the gloves are off, troll every company involved in this nonsense.",unrelated,gab_forum,unrelated,negative,negative
other,[GrendelReport] Keith Ellison Attempts To Claim Accuser Fabricated Abuse Allegations During A LIVE Debate  ,[GrendelReport] Keith Ellison Attempts To Claim Accuser Fabricated Abuse Allegations During A LIVE Debate  ,unrelated,gab_forum,unrelated,neutral,negative
other,"Make no mistake- if we don't get our asses out there and vote this midterm, this Republic is -done-.","Make no mistake- if we don't get our asses out there and vote this midterm, this Republic is -done-.",unrelated,gab_forum,unrelated,negative,negative
other,Thanks Bill...Mr I Did not have sex w that woman!,Thanks Bill...Mr I Did not have sex w that woman!,unrelated,gab_forum,unrelated,neutral,negative
